,mean_abs_shap
V12,0.08357897815440517
V14,0.07221844220997986
V4,0.06355622070526186
V11,0.05642030893893571
V10,0.040573771708779086
V17,0.027360049528758677
V3,0.021663646250596785
V16,0.019686359162358325
V1,0.017295126074181925
V7,0.010832036706823929
V18,0.008196107406298149
Time,0.0076847249519415165
V2,0.006339714728300064
V9,0.00606593452146868
Amount,0.005903442313708059
V19,0.004841354822113276
V8,0.00482617602118332
V28,0.0045891221180068735
V20,0.00412869023723916
V13,0.004100988654683332
V21,0.003930984503512326
V23,0.0035857898245523507
V26,0.0035554937393595444
V6,0.0034825819950897265
V24,0.0033068412740599896
V5,0.003295987392748116
V15,0.003148211087204427
V27,0.0031440592535903447
V22,0.0029706049554442536
V25,0.002793894251093658
